id,organization,fellowship,url,area,type,funded,duration_months,opens,deadline,next_cohort,flag,description,terms,contact,notes,added,source
eth-zurich-visiting-researcher-program-065,ETH Zurich,Visiting Researcher Program,https://www.internationals.uzh.ch/en/visit/visiting-scholars.html,AI Policy,Research Fellowships,Verify,,Jun 1,Rolling,Jan 1,,Visiting research program hosting doctoral scholars working on AI and technology regulation in Europe.,Doctoral visiting; verify funding,cle@gess.ethz.ch,Stipendiary (verify). Swiss-based; AI/tech regulation focus including EU AI Act implementation; doctoral visiting.,2026-06-03,seed
vanderbilt-universit-travel-and-research-grants-066,Vanderbilt University,Travel and Research Grants,,Data Analysis,Scholarships,Yes,1,Rolling,Rolling,Rolling,,"Internal Vanderbilt grant reimbursing graduate students up to $1,000 to present research at conferences.",1 yr at Vanderbilt; first author/presenter; DGS approval; exhaust dept funding first,gradschool@vanderbilt.edu,"Up to $1,000 per trip. Must have completed one full year at Vanderbilt and be first author/presenter. Limit one grant per budget year (July 1�June 30); maximum three grants during your Vanderbilt tenure. Requires DGS approval and must exhaust departmental funding first.",2026-06-03,seed
vanderbilt-universit-gli-professional-development-067,Vanderbilt University,GLI Professional Development & Training Grants,,Data Analysis,Scholarships,Yes,1,Rolling,Rolling,Rolling,,Vanderbilt Graduate Leadership Institute grants funding professional development and training activities.,Vanderbilt graduate students; GLI program,gradschool@vanderbilt.edu,Vanderbilt GLI Professional Development & Training Grants. See https://gradschool.vanderbilt.edu/student-resources/professional-development/gli/gli-funding-opportunities/,2026-06-03,seed
u-s-general-service-u-s-digital-corps-fellowship-068,U.S. General Services Administration (GSA),U.S. Digital Corps Fellowship,,AI Policy,Professional Fellowships,Yes,24,Fall,Rolling,August,Verify Eligibility,"Two-year federal fellowship placing early-career technologists on AI, cybersecurity, and data projects.",Requires U.S. work authorization (not employer-sponsored); cohort starts ~August,usdigitalcorps@gsa.gov,Requires U.S. work authorization; not employer-sponsored. Cohort typically starts August.,2026-06-03,seed
echoing-green-echoing-green-fellowship-069,Echoing Green,Echoing Green Fellowship,,Nonprofit Governance,Professional Fellowships,Yes,18,Oct 8,Annual,,,Fellowship supporting emerging social entrepreneurs and leaders driving public-interest change.,Original founder; early-stage org (<5 yrs); any nationality; no degree req; $100K over 18 mo,fellowship@echoinggreen.org,"Capacity-building + ~1,000-member network; fits founder track (Tarrant County Mediation Center, HRI). 2026 deadline Oct 8, 2 PM ET; notifications Jun/Jul. Source: echoinggreen.org",2026-06-03,seed
govern-for-america-govern-for-america-fellowship-070,Govern For America (GFA),Govern For America Fellowship,,Public Policy,Professional Fellowships,Yes,24,Nov 1,Dec 8,Jun 1,,"Two-year program placing emerging leaders in full-time, paid state and local government roles.",US work authorization; 2-yr commitment,apply@govforamerica.org,,2026-06-03,seed
princeton-university-citp-fellowship-in-technology-071,Princeton University (CITP),CITP Fellowship in Technology Policy,,AI Policy,Research Fellowships,Yes,24,Fall,Dec 8,September,,Two-year tech policy research position with coursework and mentoring at Princeton's CITP.,Bachelor's required; visa sponsorship available; in-person at Princeton; appointment begins ~Sep 1,Via citp.princeton.edu/about/hiring,Bachelor's required; position is eligible for employment-related visa sponsorship.,2026-06-03,seed
horowitz-foundation-dissertation-research-grant-072,Horowitz Foundation for Social Policy,Dissertation Research Grant,https://www.horowitz-foundation.org/,Public Policy,Dissertation Fellowship,Yes,,Dec 1,Dec 1,,,Grant supporting doctoral dissertation research in social policy.,Dissertation proposal stage prerequisite,info@horowitz-foundation.org,Dissertation proposal stage prerequisite; defer to future cycle,2026-06-03,seed
american-society-for-founders-fellows-program-073,American Society for Public Administration (ASPA),Founders' Fellows Program,https://aspanet.secure-platform.com/a/page/FF-2026,Public Policy,Research Fellowships,Yes,,Sep 1,Nov 17,Unknown,,Pre-dissertation fellowship supporting early-stage public-administration scholars; requires ASPA membership.,ASPA membership required,info@aspanet.org,Strongest pre-dissertation fit; ASPA membership required,2026-06-03,seed
center-for-advanced-casbs-fellowship-074,"Center for Advanced Study in the Behavioral Sciences (CASBS), Stanford",CASBS Fellowship,https://casbs.stanford.edu/programs/fellowship-program,AI Policy,Research Fellowships,Yes,12,Dec 1,Nov 1,Rolling,,Year-long residential fellowship giving advanced scholars time and community for behavioral-science research.,Advanced-stage; post-defense target,casbs-fellowship@stanford.edu,Stipend + Stanford housing. Year-long residential; advanced-stage researchers; has hosted AI governance scholars; post-defense target.,2026-06-03,seed
council-on-foreign-r-international-affairs-fellowsh-075,Council on Foreign Relations (CFR),International Affairs Fellowship,https://www.cfr.org/fellowships/international-affairs-fellowship-iaf,AI Policy,Research Fellowships,Yes,,May 1,Oct 15,Jul 1,,Fellowship placing mid-career professionals in policy or academic settings to bridge research and foreign affairs.,Mid-career professionals,fellowships@cfr.org,Stipendiary. Mid-career professionals; policy-academic bridge; foreign policy/tech overlap; verify stage fit.,2026-06-03,seed
u-s-general-service-presidential-innovation-fellow-076,U.S. General Services Administration (GSA),Presidential Innovation Fellows (PIF),,AI Policy,Professional Fellowships,Yes,12,Annual,Sep 30,Rolling,,Fellowship embedding mid-to-senior technology experts in federal agencies to drive AI and digital strategy.,U.S. citizens/nationals only; GS-15 salary; DC-based; PIF program reported terminated in 2025 � verify status before applying,PIF@gsa.gov,Open to U.S. citizens and nationals only; mid-to-senior career level.,2026-06-03,seed
gradel-institute-for-oxford-penn-social-impact-doct-077,Gradel Institute for Charity,Oxford Penn Social Impact Doctoral Fellowship Program,https://www.gradelinstituteofcharity.co.uk/doctoral-fellows,Nonprofit Governance,Research Fellowships,Yes,,Jul 1,Sep 1,Jan 1,,Doctoral fellowship supporting social-impact and charity-sector research at Oxford.,Doctoral; Oxford-based,gradel.institute@new.ox.ac.uk,,2026-06-03,seed
ewing-marion-kauffma-kauffman-research-grant-078,Ewing Marion Kauffman Foundation,Kauffman Research Grant,,Public Policy,Research Fellowships,Yes,Verify,Verify,Jun 1,Unknown,,Research grants supporting scholarship that sustains and expands entrepreneurship and business ownership.,Entrepreneurship research focus,info@kauffman.org,"Research Section grant. Strategic priority ENTREPRENEURSHIP: supporting and sustaining business ownership. Application window June 1, 2026. https://www.kauffman.org/funding/grants/research/",2026-06-03,seed
paragon-fellowship-paragon-policy-fellowship-079,Paragon Fellowship,Paragon Policy Fellowship,,Public Policy,Professional Fellowships,No,,,Apr 30,May 1,,Remote part-time fellowship pairing students with state and local governments on tech-policy projects.,Unpaid; remote; 8-10 hrs/week,,,2026-06-03,seed
jams-foundation-as-jams-fellowship-program-080,JAMS Foundation / Association for Conflict Resolution (ACR),JAMS Fellowship Program,https://www.jamsadr.com/jams-fellowship-program,Conflict Resolution,Research Fellowships,Yes,,Rolling,Apr 24,Rolling,,Grant program funding conflict-resolution research and practice through nonprofit partners.,Requires nonprofit partner,foundation@jamsadr.com,Organizational grant; requires nonprofit partner,2026-06-03,seed
aspen-institute-aspen-tech-policy-hub-fellowsh-081,Aspen Institute,Aspen Tech Policy Hub Fellowship,https://aspenpolicyacademy.org/program/science-and-technology-policy-fellowship/,AI Policy,Research Fellowships,Yes,,Nov 1,Feb 5,Unknown,,Project-driven fellowship training technologists to develop actionable technology policy at UC Berkeley.,Accepts policy backgrounds,techpolicyhub@aspeninstitute.org,Berkeley-based cohort; project-driven tech policy training; accepts policy backgrounds,2026-06-03,seed
aspen-tech-policy-hu-public-service-fellowship-082,Aspen Tech Policy Hub,Public Service Fellowship,https://aspenpolicyacademy.org/program/science-and-technology-policy-fellowship/,AI Policy,Research Fellowships,Yes,2,Nov 1,Feb 5,Unknown,,Eight-week summer fellowship building public-interest technology policy projects at UC Berkeley's Goldman School.,Doctoral eligible; 8-week summer,info@aspenpolicyacademy.org,Funded. 8-week summer; Berkeley GSPP; project-driven tech policy; doctoral eligible.,2026-06-03,seed
new-america-public-interest-technology-fel-083,New America,Public Interest Technology Fellowship,https://www.newamerica.org/fellowships/new-america-fellows/,AI Policy,Research Fellowships,Yes,,Rolling,Feb 2,Rolling,,Fellowship supporting public-interest technologists working on technology policy from a DC think tank.,Flexible eligibility for policy researchers,publicinteresttech@newamerica.org,DC think tank; public-interest tech focus; flexible eligibility for policy researchers,2026-06-03,seed
princeton-university-citp-emerging-scholars-program-084,Princeton University (CITP),CITP Emerging Scholars Program,,AI Policy,Research Fellowships,Yes,24,Fall,Jan 12,August,,Two-year salaried post-baccalaureate research role training emerging scholars in public-interest technology.,Bachelor's required; hired as salaried University staff (research specialist); in-residence at Princeton; notifications mid-April; starts ~Aug 24,citp.princeton.edu email,,2026-06-03,seed
hudson-institute-pol-summer-fellowship-085,Hudson Institute Political Studies,Summer Fellowship,,Public Policy,Seminars & Conferences,Verify,,,Jan 9,,Verify Eligibility,"Summer program in political theory and public policy with seminars, workshops, and a speaker series.","Undergraduates and recent graduates; summer program in Washington, DC",,Hudson Institute Political Studies Summer Fellowship; political theory + American political principles; mentorship program. Source: hudsonpoliticalstudies.org/fellowship,2026-06-03,seed
centre-for-the-gover-govai-summer-fellowship-086,Centre for the Governance of AI (GovAI),GovAI Summer Fellowship,https://www.governance.ai/post/dc-summer-fellowship-2026,AI Policy,Research Fellowships,Yes,3,Sep 15,Jan 4,Sep 1,,Three-month paid summer fellowship producing independent AI governance research under expert mentorship.,~10 fellows annually; paid,contact@governance.ai,3-month paid summer fellowship; strong AI policy career feeder; ~10 fellows annually,2026-06-03,seed
new-jersey-innovatio-data-policy-graduate-fellow-087,New Jersey Innovation Authority (NJIA),Data & Policy Graduate Fellow - AI Policy & Public Projects,https://jobs.lever.co/NJStateOfficeofInnovation/,AI Policy,Research Fellowships,Yes,,Rolling,Rolling,Sep 1,,Full-time salaried fellowship advancing AI policy and public-interest projects in NJ state government.,Full-time salaried; not SRC-compatible,,Full-time salaried role; not SRC-compatible,2026-06-03,seed
new-jersey-innovatio-ai-graduate-fellow-technical-088,New Jersey Innovation Authority (NJIA),AI Graduate Fellow - Technical Research and Development,https://jobs.lever.co/NJStateOfficeofInnovation/7158be6f-a9ca-4bfc-9151-d00f8d4a2480,AI Policy,Research Fellowships,Yes,,Apr 27,Rolling,Dec 1,,Full-time salaried fellowship leading technical AI research and development in NJ state government.,Full-time salaried; not SRC-compatible,,Full-time salaried role; not SRC-compatible,2026-06-03,seed
effective-thesis-effective-thesis-fellowship-s-089,Effective Thesis,Effective Thesis Fellowship (Specialist Track),https://www.effectivethesis.org/key-services/effective-thesis-fellowship,AI Policy,Research Fellowships,Yes,3,Rolling,Jun 3,Rolling,,Virtual fellowship guiding researchers to pursue high-impact thesis projects in priority areas.,Virtual; ~10 hrs/week; SRC-compatible,hello@effectivethesis.org,Virtual; ~10 hrs/week for 3 months; SRC-compatible,2026-06-03,seed
harvard-ai-safety-st-governance-policy-strategy-090,Harvard AI Safety Student Team (AISST),"Governance, Policy & Strategy (GPS) Fellowship",https://aisst.ai/policy-fellowship,AI Policy,Research Fellowships,No,,May 1,Jun 1,Unknown,,"Student-run Harvard fellowship developing AI governance, policy, and strategy skills through guided projects.",Harvard-affiliated; virtual option,info@aisst.ai,Virtual option; ~50% historical acceptance rate,2026-06-03,seed
harvard-ai-safety-st-introductory-technical-fellows-091,Harvard AI Safety Student Team (AISST),Introductory Technical Fellowship,https://aisst.ai/tech-fellowship,AI Policy,Research Fellowships,No,,May 1,Jun 1,Unknown,,Student-run Harvard fellowship introducing participants to technical AI safety research fundamentals.,Assumes ML familiarity,info@aisst.ai,Technical AI safety focus; assumes ML familiarity,2026-06-03,seed
base-research-base-fellows-fall-2026-092,BASE Research,BASE Fellows Fall 2026,https://www.baseresearch.org/base-fellowship,AI Policy,Research Fellowships,Yes,,Mar 1,Jan 9,Unknown,,Diversity-focused fellowship supporting Black researchers entering AI safety and ethics work.,Black researchers; governance track,info@baseresearch.org,Diversity-focused (Black researchers); governance track fits profile,2026-06-03,seed
